mobile calls
mobile_server.sync_contact_deltas
mobile_server.verify_sync_contacts
mobile_server_new.register_phone_number
mobile_server_new.verify_phone_number
mobile_server.register_address
mobile_server.send_asset
mobile_server_new.upgrade_mobile_user
mobile_server.get_next_address_by_phone_number
mobile_server_new.upsert_wallets
mobile_server.register_phone_number
mobile_server.set_colu_account
mobile_server.verify_phone_number
mobile_server.switch_to_wallet
mobile_server_new.get_wallets
mobile_server.send_invitation
mobile_server.redirect_to_install
mobile_server.update_encrypted_key
mobile_server.get_wallets
