PAGE NAMES FROM PIWIK
*********************
colored_coins_rpc.get
colusite.aboutus
colusite.contact
colusite.index
engine.build_finance_issue
engine.build_finance_old
engine.build_finance_send
engine.get_addresses_info
engine.get_addresses_utxos
engine.get_assets_metadata
engine.is_addresses_active
engine.is_running
engine.transmit_financed
engine.verify_issuer
mobile_server.get_next_address_by_phone_number
mobile_server.get_wallets
mobile_server.redirect_to_install
mobile_server.register_address
mobile_server.register_phone_number
mobile_server.send_asset
mobile_server.send_invitation
mobile_server.set_colu_account
mobile_server.switch_to_wallet
mobile_server.sync_contact_deltas
mobile_server.update_encrypted_key
mobile_server.verify_phone_number
mobile_server.verify_sync_contacts
mobile_server_new.get_wallets
mobile_server_new.register_phone_number
mobile_server_new.upgrade_mobile_user
mobile_server_new.upsert_wallets
mobile_server_new.verify_phone_number
new_website_server.issue_generic_token_for_servers
new_website_server.noop
reallybaddisgustingcode.register_user
reallybaddisgustingcode.verify_registration
user_managment.get_user
user_managment.login
user_managment.register_user
user_managment.update_user
user_managment.verify_user
